,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
595.00,Léon,1994.00,R,25728.70,110 min,"Action, Crime, Drama",Luc Besson,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","English, Italian, French","France, United States",6 wins & 15 nominations,https://m.media-amazon.com/images/M/MV5BODllNWE0MmEtYjUwZi00ZjY3LThmNmQtZjZlMjI2YTZjYmQ0XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64.00,8.50,35785.51,tt0110413,movie,35850.00,40071397.78,N/A,N/A,True,
596.00,Lucy,2014.00,R,25728.70,89 min,"Action, Sci-Fi, Thriller",Luc Besson,Luc Besson,"Scarlett Johansson, Morgan Freeman, Choi Min-sik","A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.","English, Mandarin, French, Italian, German, Spanish, Korean","France, Germany, Taiwan, Canada, United States, United Kingdom",1 win & 12 nominations,https://m.media-amazon.com/images/M/MV5BODcxMzY3ODY1NF5BMl5BanBnXkFtZTgwNzg1NDY4MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61.00,6.40,35785.51,tt2872732,movie,42024.00,40071397.78,N/A,N/A,True,
597.00,Valerian and the City of a Thousand Planets,2017.00,PG-13,25728.70,136 min,"Action, Adventure, Fantasy",Luc Besson,"Pierre Christin, Jean-Claude Mézières, Luc Besson","Dane DeHaan, Cara Delevingne, Clive Owen","A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the uni","English, French","France, China, Belgium, Germany, United Arab Emirates, United States, Canada, New Zealand, Singapore, United Kingdom, Thailand",10 nominations,https://m.media-amazon.com/images/M/MV5BMTkxMDAxNDUyNV5BMl5BanBnXkFtZTgwOTc3MzcxMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.00,6.50,35785.51,tt2239822,movie,43060.00,40071397.78,N/A,N/A,True,
598.00,Ma vie en l'air,2005.00,R,25728.70,103 min,"Comedy, Romance",Rémi Bezançon,Rémi Bezançon,"Vincent Elbaz, Marion Cotillard, Gilles Lellouche",Will the fear of flying rob a man of his second chance for love?,French,France,2 nominations,https://m.media-amazon.com/images/M/MV5BMjE3NzQyOTU4OV5BMl5BanBnXkFtZTgwMjg4NDcyNTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",64.02,6.80,35785.51,tt0436546,movie,N/A,40071397.78,TFM Distribution,N/A,True,
599.00,Totò e Peppino divisi a Berlino,1962.00,R,25728.70,103 min,Comedy,Giorgio Bianchi,"Agenore Incrocci, Furio Scarpelli, Sandro Continenza","Totò, Peppino De Filippo, Nadia Sanders","Antonio goes to West Berlin and meets Giuseppe. But Antonio looks like Canarinis, a wanted war criminal, So the daughter of the criminal pays Antonio to impersonate him.",Italian,Italy,Nothing,https://m.media-amazon.com/images/M/MV5BZmY2YzI1NzEtNGQ0YS00M2U2LTkyNWUtOWEwY2Y2NWMzZTM4XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",64.02,6.60,35785.51,tt0056605,movie,N/A,40071397.78,N/A,N/A,True,
600.00,Gun for a Coward,1956.00,Approved,25728.70,88 min,"Adventure, Drama, Romance",Abner Biberman,R. Wright Campbell,"Fred MacMurray, Jeffrey Hunter, Janice Rule",After the death of a rancher his three sons run the ranch but one of them is seen as a coward because of his reluctance to gunfight.,English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BY2JhNDU3NjctNTBmOC00ODI1LTk2NmItOGNkMjAxMWRjM2QwXkEyXkFqcGdeQXVyNDY3MzU2MDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",64.02,6.10,35785.51,tt0049285,movie,44112.00,40071397.78,N/A,N/A,True,
601.00,The Salt of the Earth,2014.00,PG-13,25728.70,110 min,"Documentary, Biography, History","Juliano Ribeiro Salgado, Wim Wenders","Wim Wenders, Juliano Ribeiro Salgado, David Rosier","Sebastião Salgado, Wim Wenders, Lélia Wanick Salgado","The life and work of photographer Sebastião Salgado, who has spent forty years documenting societies in hidden corners of the world.","French, English, Portuguese","France, Brazil, Italy",Nominated for 1 Oscar. 13 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BNzUyODI4MzE5N15BMl5BanBnXkFtZTgwMjQxNzk3MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83.00,8.50,35785.51,tt3674140,movie,42199.00,40071397.78,N/A,N/A,True,
602.00,Slaves of New York,1989.00,R,25728.70,124 min,"Comedy, Drama",James Ivory,Tama Janowitz,"Bernadette Peters, Adam Coleman Howard, Chris Sarandon",Benadette Peters stars in this ironic film based on Tama Janowitz's best-selling collection of short stories that defined the downtown New York art scene of the 1980s,English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BZTU5NzBmYjktNTI3ZS00Y2JkLWJhNzUtMTVhODg1MzkwOTI0XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}]",64.02,5.70,35785.51,tt0098347,movie,38559.00,40071397.78,N/A,N/A,True,
603.00,Saltimbank,2003.00,R,25728.70,92 min,"Drama, Comedy",Jean-Claude Biette,Jean-Claude Biette,"Jeanne Balibar, Jean-Christophe Bouvet, Jean-Marc Barr, Pascal Cervo","The title reflects the brand of a financial institution, the bank of the Saltim family: Frederic, the younger brother, runs the family bank; his brother Bruno rejected the position of ...","French, German",France,Nothing,https://m.media-amazon.com/images/M/MV5BNzg0OTViOGMtYWZmNS00NTJkLWIzMGMtOGIyMjg3NjY3NjVmXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",64.02,6.60,35785.51,tt0306040,movie,N/A,40071397.78,N/A,N/A,True,
604.00,Point Break,1991.00,R,25728.70,122 min,"Action, Crime, Thriller",Kathryn Bigelow,"Rick King, W. Peter Iliff","Patrick Swayze, Keanu Reeves, Gary Busey",An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.,English,"United States, Japan",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BNWVjZWFmYjItZGJlOC00YTllLWE4YjctMWY2ZTg5ZjE0MDIyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58.00,7.30,35785.51,tt0102685,movie,38993.00,40071397.78,N/A,N/A,True,
605.00,Untamed Heart,1993.00,PG-13,25728.70,102 min,"Drama, Romance",Tony Bill,Tom Sierchio,"Christian Slater, Marisa Tomei, Rosie Perez",A waitress hardly notices a shy busboy who secretly loves her; until one night she's attacked and he comes to her rescue. From there a relationship sparks but one secret could mean disaster for these fated lovers.,English,United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BODY5MTQ0ZDctMjI0YS00ZjNmLTg4YzUtZWRlYTlkMGY3MTYxXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59.00,6.80,35785.51,tt0108451,movie,37208.00,40071397.78,N/A,N/A,True,
606.00,Vautrin,1943.00,R,25728.70,88 min,Drama,Pierre Billon,"Pierre Benoît, Pierre Billon, Marc-Gilbert Sauvajon","Michel Simon, Madeleine Sologne, Renée Albouy","Michel Simon vehicle and Balzac adaptation: An escaped convict, putting on priest's garb, manoeuvres his way into 19tn century French society and pressures his young protege to marry for money, not love.",French,France,Nothing,https://m.media-amazon.com/images/M/MV5BZDgwNjljMTYtMTgwMC00YjFlLTk4NWUtMDgyNTMxYmVmMmVlXkEyXkFqcGdeQXVyNjcwNzI5MTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",64.02,6.90,35785.51,tt0206390,movie,N/A,40071397.78,N/A,N/A,True,
607.00,Man About Town,2006.00,R,25728.70,96 min,"Comedy, Drama",Mike Binder,Mike Binder,"Ben Affleck, Rebecca Romijn, John Cleese",A top Hollywood talent agent finds his cushy existence threatened when he discovers that his wife is cheating on him and that his journal has been swiped by a reporter out to bring him down.,English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BMTI1MDM0MjQ5Ml5BMl5BanBnXkFtZTcwMzE1MjM0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}]",64.02,5.50,35785.51,tt0420757,movie,39126.00,40071397.78,N/A,N/A,True,
608.00,Reign Over Me,2007.00,R,25728.70,124 min,Drama,Mike Binder,Mike Binder,"Adam Sandler, Don Cheadle, Jada Pinkett Smith",A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.,English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BOTYyMTExNTgwNF5BMl5BanBnXkFtZTcwMDY4MTEzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61.00,7.40,35785.51,tt0490204,movie,39364.00,40071397.78,N/A,N/A,True,
609.00,Mother Didn't Tell Me,1950.00,Approved,25728.70,88 min,Comedy,Claude Binyon,"Mary Bard, Claude Binyon","Dorothy McGuire, William Lundigan, June Havoc",A woman learns how to deal with the difficulties of being a doctor's wife and an interfering mother in law.,English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BZDVmOTI3MDEtZmU4Zi00OTNkLWFmYzUtMDgzMTQzYjI0MjRhXkEyXkFqcGdeQXVyNDY3MzU2MDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",64.02,5.90,35785.51,tt0042749,movie,N/A,40071397.78,N/A,N/A,True,
610.00,Dreamboat,1952.00,Approved,25728.70,83 min,Comedy,Claude Binyon,"Claude Binyon, John D. Weaver","Clifton Webb, Ginger Rogers, Anne Francis","Thornton Sayre, a respected college professor, is plagued when his old movies are shown on TV and sets out with his daughter to stop it. However, his former co-star is the hostess of the TV show playing his films and she has other pl",English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BNjNlNjdhMDctZmM1MS00ZTg2LTk4MmMtYjhkYzBmNTkzMTRiXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",64.02,6.70,35785.51,tt0044566,movie,41254.00,40071397.78,Twentieth Century Fox,N/A,True,
611.00,Mission: Impossible - Ghost Protocol,2011.00,PG-13,25728.70,132 min,"Action, Adventure, Thriller",Brad Bird,"Bruce Geller, Josh Appelbaum, André Nemec","Tom Cruise, Jeremy Renner, Simon Pegg","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.","English, Russian, French, Arabic, Swedish",United States,5 wins & 30 nominations,https://m.media-amazon.com/images/M/MV5BMTY4MTUxMjQ5OV5BMl5BanBnXkFtZTcwNTUyMzg5Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73.00,7.40,35785.51,tt1229238,movie,41016.00,40071397.78,N/A,N/A,True,
612.00,Ratatouille,2007.00,G,25728.70,111 min,"Animation, Adventure, Comedy","Brad Bird, Jan Pinkava","Brad Bird, Jan Pinkava, Jim Capobianco","Brad Garrett, Lou Romano, Patton Oswalt",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,"English, French",United States,Won 1 Oscar. 67 wins & 42 nominations total,https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96.00,8.00,35785.51,tt0382932,movie,39392.00,40071397.78,N/A,N/A,True,
613.00,Erreur de la banque en votre faveur,2009.00,R,25728.70,105 min,Comedy,"Gérard Bitton, Michel Munz","Gérard Bitton, Michel Munz","Gérard Lanvin, Jean-Pierre Darroussin, Barbara Schulz","The cook at an international bank stumbles upon insider trading secrets. With his best friend, he starts turning his life around. But soon, the whole neighborhood is counting on him.",French,France,Nothing,https://m.media-amazon.com/images/M/MV5BMmQxZGE4OTItOTM2OC00OTIwLTk2NjItNmY0Yzc4NTZiNjYzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjk5NjAxMzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",64.02,6.20,35785.51,tt1314240,movie,N/A,40071397.78,N/A,N/A,True,
614.00,Pretty Poison,1968.00,Approved,25728.70,89 min,"Comedy, Crime, Romance",Noel Black,"Stephen Geller, Lorenzo Semple Jr.","Anthony Perkins, Tuesday Weld, Beverly Garland","When a mentally disturbed young man tells a pretty girl that he's a secret agent, she believes him, and murder and mayhem ensue.","English, Russian, Spanish",United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BNzExZmQwZjctMDgxYi00YTNjLTg5NjEtMDc2NTljZmM1NDY2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",64.02,7.10,35785.51,tt0063456,movie,38965.00,40071397.78,N/A,N/A,True,
615.00,Kiss Kiss Bang Bang,2005.00,R,25728.70,103 min,"Comedy, Crime, Mystery",Shane Black,"Brett Halliday, Shane Black","Robert Downey Jr., Val Kilmer, Michelle Monaghan","A murder mystery brings together a private eye, a struggling actress, and a thief masquerading as an actor.",English,United States,5 wins & 16 nominations,https://m.media-amazon.com/images/M/MV5BMTY5NDExMDA3M15BMl5BanBnXkFtZTYwNTc2MzA3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.00,7.50,35785.51,tt0373469,movie,38881.00,40071397.78,N/A,N/A,True,
616.00,Madonna of the Desert,1948.00,Approved,25728.70,60 min,"Crime, Drama",George Blair,"Albert DeMond (screenplay), Frank Wisbar (story)","Lynne Roberts, Don 'Red' Barry, Don Castle, Sheldon Leonard","A jeweled Madonna, property of rancher Joe Salinas, attracts two crooks to his ranch, Monica Dell, a smooth operator, and ruthless Nick Julian. Joe believe that the statue has a miraculous ...",English,USA,Nothing,https://m.media-amazon.com/images/M/MV5BNDczMjcxOTAtYTZjYS00YTRmLWFiYmItMDM2NWExOWNjMzk2XkEyXkFqcGdeQXVyMzAwOTU1MTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",64.02,6.50,35785.51,tt0040561,movie,N/A,40071397.78,N/A,N/A,True,
617.00,Unmasked Part 25,1988.00,R,25728.70,85 min,"Comedy, Drama, Horror",Anders Palm,"Mark Cutforth, William Shakespeare","Gregory Cox, Fiona Evans, Edward Brayshaw","Jackson is a lonely serial killer who is really beginning to question the point of all his killing. He is losing focus on why he started to kill in the first place. The future looks bleak until he meets a blind girl, Shelly, who begi",English,United Kingdom,1 win,https://m.media-amazon.com/images/M/MV5BNTExMWFkNjUtOTQ0Ni00NzEzLWFjNzctNTU0ZTEyZTA1MGNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",64.02,5.80,35785.51,tt0096343,movie,44073.00,40071397.78,N/A,N/A,True,
618.00,Insurance Investigator,1951.00,Approved,25728.70,60 min,"Crime, Drama, Film-Noir",George Blair,"Gertrude Walker, Beth Brown","Richard Denning, Audrey Long, John Eldredge","When a businessman who has had a double indemnity policy taken out on him dies mysteriously, his insurance company sends an undercover investigator to town to determine exactly what happened.",English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BYTJjMjVmNGMtMzEzYi00ZTJjLTg1ZDEtMDNmMGU5NWY0OTVhL2ltYWdlXkEyXkFqcGdeQXVyNzAyNTQ1Mzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",64.02,6.30,35785.51,tt0128271,movie,N/A,40071397.78,N/A,N/A,True,
619.00,Desert Pursuit,1952.00,Approved,25728.70,71 min,Western,George Blair,"Scott Darling, Kenneth Perkins","Wayne Morris, Virginia Grey, George Tobias","In the mid-late 1800's camels were imported to various regions of the American southwestern deserts as pack animals and natives from the middle eastern countries came along as drivers and tenders, which is why there are three designa",English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BMTJiOGNlYTAtOGVlNC00YjkwLWI0OWUtZDZiNTJmODQzZWU0XkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",64.02,5.20,35785.51,tt0044541,movie,N/A,40071397.78,N/A,N/A,True,
620.00,Marche à l'ombre,1984.00,Not Rated,25728.70,90 min,"Comedy, Drama",Michel Blanc,"Michel Blanc, Patrick Dewolf","Gérard Lanvin, Michel Blanc, Sophie Duez","Two friends, one a musician the other constantly depressed wander around Greece and France till they get to Paris without a penny to their name. Here they spend nights in the underground, and squat in houses with the African immigran",French,France,2 nominations,https://m.media-amazon.com/images/M/MV5BMjIxMTk0NDgyOV5BMl5BanBnXkFtZTgwNDM4NTkwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",64.02,6.60,35785.51,tt0087681,movie,N/A,40071397.78,N/A,N/A,True,
621.00,Grosse fatigue,1994.00,R,25728.70,92 min,Comedy,Michel Blanc,"Michel Blanc, Bertrand Blier, Josiane Balasko","Michel Blanc, Carole Bouquet, Philippe Noiret","What is going on here?!? French director, Michel Blanc (as Himself), just doesn't understand why his life is suddenly falling apart. This nightmarish comedy-thriller is all about identity. What defines a famous person? Is it their pu","French, English",France,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BZGQ1YTE5OTktYzM1ZS00OTQ5LTljOGMtMGM0YzU4OThhMDBhXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",64.02,6.40,35785.51,tt0109942,movie,N/A,40071397.78,N/A,N/A,True,
622.00,Scandale aux Champs-Élysées,1949.00,R,25728.70,95 min,"Crime, Drama",Roger Blanc,"Robert Siegfried, Robert Beauvais, Jacques Celhay","Pierre Renoir, Françoise Christophe, Guy Decomble",N/A,French,France,Nothing,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",64.02,5.40,35785.51,tt0140535,movie,N/A,40071397.78,N/A,N/A,True,
623.00,Tempi nostri - Zibaldone n. 2,1954.00,R,25728.70,134 min,Comedy,"Alessandro Blasetti, Paul Paviot","Giorgio Bassani, Alessandro Blasetti, Achille Campanile","Vittorio De Sica, Dany Robin, François Périer","A five-part compilation film. in ""The Baby,"" a poverty-ridden couple with children decides that their recently-born child is too much and they decide to leave him him in a church for adoption, But the mother can not go through with i",Italian,"Italy, France",2 wins,https://m.media-amazon.com/images/M/MV5BMmQyNDg5OWItZTFjZi00ZDRhLWI0MTMtMmE0ZjZmNDY1MDczXkEyXkFqcGdeQXVyMjI4NzAzNjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",64.02,5.90,35785.51,tt0046409,movie,N/A,40071397.78,N/A,N/A,True,
624.00,Peccato che sia una canaglia,1954.00,R,25728.70,95 min,"Comedy, Romance",Alessandro Blasetti,"Alberto Moravia, Suso Cecchi D'Amico, Sandro Continenza","Vittorio De Sica, Sophia Loren, Marcello Mastroianni","A kind-hearted taxi driver runs into a glamorous girl and falls in love with her, but she turns out to be a cheap thief.","English, Italian",Italy,1 win,https://m.media-amazon.com/images/M/MV5BYmE4MDBhYzktMzc1OS00YTQzLTk4YWMtMTI4ODI1ZTIyMjNlL2ltYWdlXkEyXkFqcGdeQXVyMjU5OTg5NDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",64.02,6.90,35785.51,tt0048475,movie,38027.00,40071397.78,Documento Film,N/A,True,
625.00,Amore e chiacchiere (Salviamo il panorama),1958.00,R,25728.70,95 min,"Comedy, Drama",Alessandro Blasetti,"Isa Bartalini, Alessandro Blasetti, José María Otero","Vittorio De Sica, Gino Cervi, Carla Gravina","An industrialist tries to corrupt the deputy mayor by exploiting his oratory vanity, to prevent the panoramic view of his villa from being disfigured by a hospice.",Italian,"Italy, France, Spain",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BNjIxMjkzNWEtMTlmNi00YzhlLTk5NjUtMTc2OGJiM2U4M2NhXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",64.02,6.40,35785.51,tt0050121,movie,N/A,40071397.78,N/A,N/A,True,
626.00,Between Two Worlds,1944.00,Approved,25728.70,112 min,"Mystery, Drama, Fantasy",Edward A. Blatt,"Daniel Fuchs, Sutton Vane","John Garfield, Paul Henreid, Sydney Greenstreet","Passengers on an ocean liner can't recall how they got on board or where they are going yet, oddly enough, it soon becomes apparent that they all have something in common.",English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BODBjNWUxZDktMTJjYS00ZWJkLThkYWYtMjM0ZGQ2MzZjM2MwXkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",64.02,7.20,35785.51,tt0036641,movie,40414.00,40071397.78,N/A,N/A,True,
627.00,Smart Woman,1931.00,Passed,25728.70,68 min,"Comedy, Drama, Romance",Gregory La Cava,"Myron C. Fagan, Salisbury Field","Mary Astor, Robert Ames, John Halliday",A wife turns the tables on her cheating husband.,English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BMjM2NjRjMDItOTQ0Yy00ZGY0LTlkYWUtZmZlZTE0NWY1NzRjXkEyXkFqcGdeQXVyNTUyNzA5ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",64.02,6.50,35785.51,tt0022404,movie,N/A,40071397.78,RKO Radio Pictures Inc.,N/A,True,
628.00,Si j'étais un espion,1967.00,R,25728.70,95 min,"Thriller, Drama",Bertrand Blier,"Jacques Cousseau, Jean-Pierre Simonot, Philippe Adrien","Bernard Blier, Bruno Cremer, Patricia Scott",A medical doctor gets into trouble when one of his patients turns out to be hunted by the mafia.,French,France,Nothing,https://m.media-amazon.com/images/M/MV5BZGQ2Y2MxZDctMTcwNi00OGE5LTk3OGQtMDU3YTYwNTFmOGM1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",64.02,6.50,35785.51,tt0183779,movie,N/A,40071397.78,N/A,N/A,True,
629.00,Calmos,1976.00,Not Rated,25728.70,97 min,Comedy,Bertrand Blier,"Bertrand Blier, Philippe Dumarçay","Jean-Pierre Marielle, Jean Rochefort, Bernard Blier","Two men flee to the countryside to escape their sexual duties and settle for a quiet, rustic life.",French,France,Nothing,https://m.media-amazon.com/images/M/MV5BNGFmNTIxMmMtYmNiZi00ZDZiLWI1NTAtZjQ0OTVjOTgwZjBhXkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",64.02,6.60,35785.51,tt0074524,movie,N/A,40071397.78,N/A,N/A,True,
630.00,Buffet Froid,1979.00,Not Rated,25728.70,89 min,"Comedy, Crime",Bertrand Blier,Bertrand Blier,"Gérard Depardieu, Bernard Blier, Jean Carmet","Bizarre, unreal black comedy about solitude and the dehumanization of the modern world, through the adventures of three men. First introduced is Alphonse Tram, an unemployed young man. His only neighbour is the police chief-inspector",French,France,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BN2IyNGVkMzEtZjFlYi00OTFhLWJhM2QtNTU4ZTViNWM0MGUyXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",64.02,7.40,35785.51,tt0078913,movie,41100.00,40071397.78,N/A,N/A,True,
631.00,Beau père,1981.00,R,25728.70,123 min,"Comedy, Drama, Romance",Bertrand Blier,Bertrand Blier,"Patrick Dewaere, Ariel Besse, Maurice Ronet","After her mother dies, fourteen-year-old Marion falls in love with her stepfather, Remy.",French,France,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BNDEzY2NkMGEtOWZhZC00YWVhLWJhY2MtOGNkZTY3ZGI3YjgxXkEyXkFqcGdeQXVyODc5NDQ5MjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",64.02,7.00,35785.51,tt0082054,movie,41135.00,40071397.78,N/A,N/A,True,
632.00,Tenue de soirée,1986.00,R,25728.70,84 min,"Comedy, Crime, Drama",Bertrand Blier,Bertrand Blier,"Gérard Depardieu, Michel Blanc, Miou-Miou",A bisexual petty criminal named Bob encounters a married couple arguing in a bar. Bob breaks up the fight and proceeds to seduce first the wife and then the husband. Then Bob teaches the couple how to be burglars and they join him in,French,France,2 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BOTViY2RiNGMtNDc4Mi00M2NjLTg3ZjctNDE1MWNjZGRiMTI2XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",64.02,7.10,35785.51,tt0092068,movie,40449.00,40071397.78,N/A,N/A,True,
